time(milli s),40mm ,100mm,210mm,300mm,400mm,500mm,600mm,705mm,800mm,905mm,950mm
1,0.50342,0.76735,1.24145,1.60313,2.0479,2.43891,2.83969,3.26002,3.68524,4.08113,4.32551
504,0.49853,0.76735,1.24145,1.60313,2.04301,2.43891,2.83969,3.26491,3.68035,4.08602,4.32063
1008,0.49853,0.75758,1.24633,1.59824,2.04301,2.43891,2.83969,3.26491,3.68524,4.08602,4.32063
1511,0.50342,0.77224,1.24633,1.59824,2.0479,2.44379,2.83969,3.26979,3.68035,4.08602,4.32551
2015,0.50831,0.75758,1.24633,1.60313,2.04301,2.43891,2.83969,3.26002,3.67546,4.08602,4.32063
2517,0.50342,0.76735,1.24633,1.60313,2.04301,2.44379,2.83969,3.26491,3.67546,4.08602,4.31574
3021,0.50831,0.77224,1.24145,1.59824,2.0479,2.43891,2.8348,3.26491,3.68524,4.08602,4.32063
3524,0.50342,0.77224,1.24145,1.60313,2.04301,2.43891,2.8348,3.26491,3.68035,4.08602,4.32063
4028,0.50831,0.75758,1.24145,1.60313,2.04301,2.44379,2.84457,3.26491,3.68524,4.08602,4.31574
4531,0.50342,0.76246,1.24633,1.60313,2.04301,2.43402,2.8348,3.26002,3.68035,4.08602,4.31574
5034,0.5132,0.76735,1.25122,1.59824,2.03812,2.43891,2.83969,3.26002,3.68524,4.08602,4.32063
5538,0.50831,0.76246,1.24145,1.60313,2.03812,2.43402,2.83969,3.26491,3.68524,4.08113,4.31574
6041,0.49853,0.76735,1.24633,1.59824,2.03812,2.43891,2.83969,3.26979,3.68035,4.08602,4.31574
6545,0.50831,0.76246,1.24633,1.60802,2.03812,2.44379,2.8348,3.26491,3.68524,4.09091,4.32063
7048,0.50342,0.76246,1.24145,1.60313,2.04301,2.43891,2.83969,3.26491,3.68035,4.09091,4.32063
7551,0.49365,0.76246,1.24633,1.60313,2.04301,2.43402,2.82991,3.26491,3.67546,4.09091,4.31574
8054,0.50342,0.77224,1.25122,1.60313,2.0479,2.43891,2.8348,3.26979,3.68035,4.09091,4.31085
8558,0.50342,0.76246,1.24633,1.60802,2.0479,2.43402,2.83969,3.26491,3.68035,4.08113,4.31574
9062,0.50342,0.76246,1.24633,1.60313,2.0479,2.43891,2.8348,3.27468,3.68035,4.08602,4.31574
9565,0.50831,0.76246,1.24633,1.60802,2.05279,2.43891,2.8348,3.26002,3.67546,4.09091,4.31574
10068,0.50342,0.76735,1.24633,1.60313,2.0479,2.43891,2.83969,3.26491,3.68524,4.09091,4.31574
10571,0.50342,0.77224,1.25122,1.60802,2.0479,2.43891,2.83969,3.26491,3.68524,4.09091,4.31574
11075,0.50342,0.76246,1.25122,1.60313,2.05279,2.44379,2.83969,3.26979,3.68524,4.08113,4.32063
11579,0.49853,0.76246,1.25122,1.60313,2.0479,2.44868,2.83969,3.26491,3.68035,4.08602,4.31085
12082,0.50831,0.76246,1.25122,1.60313,2.04301,2.44379,2.83969,3.26491,3.68035,4.09091,4.31574
12585,0.49853,0.75758,1.25122,1.60313,2.0479,2.43891,2.84457,3.26979,3.68035,4.09091,4.31574
13088,0.50342,0.75758,1.25122,1.60313,2.03812,2.43891,2.8348,3.26491,3.68524,4.0958,4.32063
13592,0.50831,0.76246,1.25122,1.60313,2.0479,2.43891,2.83969,3.26491,3.68524,4.08113,4.32063
14096,0.50342,0.77224,1.25611,1.59824,2.0479,2.43891,2.83969,3.26491,3.68524,4.08602,4.31574
14599,0.50831,0.76735,1.25122,1.60313,2.0479,2.43891,2.8348,3.26491,3.68035,4.0958,4.31574
15102,0.50342,0.76735,1.25122,1.60313,2.0479,2.44379,2.83969,3.26979,3.67546,4.08602,4.31574
